Titre,image,information,templateavis,type1,information_lien
LE JEU PEUT REPRENDRE ! NOUVEAUTÉ THRILLER 20...,https://assets.cantook.net/medias/20/2fed87b9dffd587ab79097ed4ee1bfcce9f0be.jpg?h=-&w=200,"
	 URQUHART, Alaina. Auteur     Univers Poche   | 2025 
","
		 Un tueur en série. Une légiste. Lequel des deux l'emportera ?Depuis qu'elle a échappé pour la deuxiè...
",,https://bibliotheques.paris.fr/numerique/doc/DILICOM/9782265160057/le-jeu-peut-reprendre-nouveaute-thriller-2025-sur-les-traces-d-un-serial-killer
MEMENTO VIVERE,https://images.immateriel.fr/covers/C8SXGV2.png,"
	 Lemonnier, Ismaël (1985-....). Auteur     Taurnada. Peymeinade (Alpes-Maritimes)   | 2025 
","
		 Vitry-sur-Seine. Après la découverte du corps d'un bébé dans les toilettes d'un bar sordide, Lucien,...
",Le tourbillon des mots,https://bibliotheques.paris.fr/numerique/doc/DILICOM/3612226495095/memento-vivere
L'ENFANT DE VERRE,https://assets.edenlivres.fr/medias/11/b27b18e6f5d66022c83e450b690a57264e43be.jpg?h=-&w=200,"
	 Confino, Léonore. Auteur     Éditions Actes Sud   | 2025 
","
		 L’Enfant de verre est une fable lumineuse et poignante, qui interroge le poids des héritages invisib...
",,https://bibliotheques.paris.fr/numerique/doc/DILICOM/9782330205812/l-enfant-de-verre
LES AMANTS DU RAGNARÖK,https://couverture.numilog.com/9782226495167_W300.jpg,"
	 Del Socorro, Jean-Laurent (1977-....). Auteur     Albin Michel. Paris   | 2025 
","
		 Alors que l'hiver de trois ans touche à sa fin, Thor sent sa mort approcher. Refusant de s'y résoudr...
",Imaginaire,https://bibliotheques.paris.fr/numerique/doc/DILICOM/9627625120787/les-amants-du-ragnarok
JIAN - TOME 1 - CEUX DE LA MONTAGNE,https://assets.edenlivres.fr/medias/12/03ed655d2909b46bbb8dbd7a2b5b81b7edc40e.jpg?h=-&w=200,"
	 Maffre, Frédéric (1979-....). Auteur     Le Lombard. Paris   | 2025 
","
		 En 480, dans les vestiges de l'Empire romain. Deux guerriers étrangers proposent leurs services dans...
",Jian,https://bibliotheques.paris.fr/numerique/doc/DILICOM/9782808217101/jian-tome-1-ceux-de-la-montagne
TOUS LES DÉMONS DE L'ENFER,https://images.immateriel.fr/covers/X8VQ3P8.png,"
	 Nevill, Adam (1969-....). Auteur     Elder Craft. Pantin (Seine-Saint-Denis)   | 2025 
","
		 Poignant, haletant et terrifiant En une nuit, l’humanité a été décimée, engloutie par le ciel au son...
",,https://bibliotheques.paris.fr/numerique/doc/DILICOM/3612226530604/tous-les-demons-de-l-enfer
LES SECRETS DE BOW STREET,https://assets.edenlivres.fr/medias/da/6210b5c9d4818d53069dd03e0a7f679c4e7a3b.jpg?h=-&w=200,"
	 Kleypas, Lisa. Auteur     J'ai Lu   | 2025 
","
		 Une femme aux portes de la mort repêchée dans la Tamise. 
Une lady bien décidée à devenir l’assistan...
",,https://bibliotheques.paris.fr/numerique/doc/DILICOM/9782290421109/les-secrets-de-bow-street
LA DISSONANCE,https://couverture.numilog.com/9782226493163_W300.jpg,"
	 Hamill, Shaun. Auteur     Albin Michel. Paris   | 2025 
","
		 A Clegg, au Texas, Hal, Athena et Erin apprennent à maîtriser la dissonance, une magie qui exploite ...
",Imaginaire,https://bibliotheques.paris.fr/numerique/doc/DILICOM/9627889910780/la-dissonance
RAY RINGO - TOME 1 - LA PORTE DU DIABLE,https://assets.edenlivres.fr/medias/b8/87bbe9f23bae344fa4fccd0bbd37b257ce80fd.jpg?h=-&w=200,"
	 Corbeyran (1964-....). Auteur     Le Lombard. Paris   | 2025 
","
		 Ray Ringo, convoyeur de la Wells Fargo, doit sauver sa fiancée, Lean, traquée par sa famille mormone...
",Ray Ringo,https://bibliotheques.paris.fr/numerique/doc/DILICOM/9782808217538/ray-ringo-tome-1-la-porte-du-diable
L'ANGE GARDIEN,https://couverture.numilog.com/9782351783429_W300.jpg,"
	 Giorda, Leo (1994-....). Auteur     Gallmeister. Paris   | 2025 
","
		 A Rome, dans le quartier de San Lorenzo, le corps décapité d'un orphelin est retrouvé dans une poube...
",Fiction,https://bibliotheques.paris.fr/numerique/doc/DILICOM/9628427281171/l-ange-gardien
